,sub-burough,mean_income_91_delta_1,mean_income_91_delta_2,mean_income_91_delta_3,std_income_91_delta_1,std_income_91_delta_2,std_income_91_delta_3,std_mcr_rent_91_delta_1,std_mcr_rent_91_delta_2,std_mcr_rent_91_delta_3,mean_mcr_rent_91_delta_1,mean_mcr_rent_91_delta_2,mean_mcr_rent_91_delta_3,std_value_91_delta_1,std_value_91_delta_2,std_value_91_delta_3,mean_value_91_delta_1,mean_value_91_delta_2,mean_value_91_delta_3,std_down_91_delta_1,std_down_91_delta_2,std_down_91_delta_3,mean_down_91_delta_1,mean_down_91_delta_2,mean_down_91_delta_3,std_rooms_91_delta_1,std_rooms_91_delta_2,std_rooms_91_delta_3,mean_rooms_91_delta_1,mean_rooms_91_delta_2,mean_rooms_91_delta_3,std_brooms_91_delta_1,std_brooms_91_delta_2,std_brooms_91_delta_3,mean_brooms_91_delta_1,mean_brooms_91_delta_2,mean_brooms_91_delta_3,18_delta_1,18_delta_2,18_delta_3,30_x_delta_1,30_x_delta_2,30_x_delta_3,45_delta_1,45_delta_2,45_delta_3,60_delta_1,60_delta_2,60_delta_3,75_delta_1,75_delta_2,75_delta_3,90_delta_1,90_delta_2,90_delta_3,Cuban_delta_1,Cuban_delta_2,Cuban_delta_3,Dom_delta_1,Dom_delta_2,Dom_delta_3,Mex_delta_1,Mex_delta_2,Mex_delta_3,Not Hispanic_delta_1,Not Hispanic_delta_2,Not Hispanic_delta_3,PR_delta_1,PR_delta_2,PR_delta_3,SA_delta_1,SA_delta_2,SA_delta_3,hisp_delta_1,hisp_delta_2,hisp_delta_3,10_x_delta_1,10_x_delta_2,10_x_delta_3,Kor_delta_1,Kor_delta_2,Kor_delta_3,amind_delta_1,amind_delta_2,amind_delta_3,asian-ind_delta_1,asian-ind_delta_2,asian-ind_delta_3,black_delta_1,black_delta_2,black_delta_3,chinese_delta_1,chinese_delta_2,chinese_delta_3,filip_delta_1,filip_delta_2,filip_delta_3,other_asian_delta_1,other_asian_delta_2,other_asian_delta_3,viet_delta_1,viet_delta_2,viet_delta_3,white_delta_1,white_delta_2,white_delta_3,1987.0_delta_1,1987.0_delta_2,1987.0_delta_3,1988.0_delta_1,1988.0_delta_2,1988.0_delta_3,1989.0_delta_1,1989.0_delta_2,1989.0_delta_3,1990.0_delta_1,1990.0_delta_2,1990.0_delta_3,1991.0_delta_1,1991.0_delta_2,1991.0_delta_3,8_x_delta_1,8_x_delta_2,8_x_delta_3,Excellent_delta_1,Excellent_delta_2,Excellent_delta_3,Fair_delta_1,Fair_delta_2,Fair_delta_3,Good_delta_1,Good_delta_2,Good_delta_3,Poor_delta_1,Poor_delta_2,Poor_delta_3,1_delta_1,1_delta_2,1_delta_3,10_y_delta_1,10_y_delta_2,10_y_delta_3,11_delta_1,11_delta_2,11_delta_3,12_delta_1,12_delta_2,12_delta_3,13_delta_1,13_delta_2,13_delta_3,14_delta_1,14_delta_2,14_delta_3,19_delta_1,19_delta_2,19_delta_3,2_delta_1,2_delta_2,2_delta_3,20_delta_1,20_delta_2,20_delta_3,21_delta_1,21_delta_2,21_delta_3,26_delta_1,26_delta_2,26_delta_3,27_delta_1,27_delta_2,27_delta_3,3_delta_1,3_delta_2,3_delta_3
0,101,1778.7745655080216,1317.1089572192504,6128.369949494951,368.43118779015094,2917.946455221272,4916.861470412972,18.412128982995284,25.29153376704602,258.75913093858594,39.03615242644662,19.71251499400239,89.78397212543553,-95471.82554227207,1163511.0245030217,1895360.6725388574,23836.99184818007,-460946.8118315507,-1547751.7342171706,,,7053064.719813122,,,5001749.0,-0.10163266416406558,0.22625155900629845,-0.32653813423263145,-0.23229424807617072,0.08622994652406435,0.17045454545454541,-0.13047683376057473,0.1379974310663743,0.02712102166122088,-0.21090387374461983,0.2807486631016043,-0.045454545454545414,,,,-0.03309638711360377,0.0006684491978609652,0.029040404040404033,0.0823985913655928,0.0003342245989305104,-0.2582070707070707,-0.02155341072127301,-0.024732620320855603,0.33964646464646464,0.004988913525498906,-0.005681818181818177,-0.06502525252525254,-0.02054258510499543,0.029411764705882353,,-0.007597495761053867,0.0006684491978609635,,0.013140733011608188,0.010695187165775402,,0.0038476587974435907,-0.010360962566844921,,0.032672492500326056,0.04645721925133689,0.6647727272727273,-0.05905178035737568,-0.03074866310160429,,0.032183383331159506,-0.023729946524064162,,-0.006847528368331812,0.006016042780748664,,,,,,,,,,,0.28267249250032606,0.18850267379679148,0.3005050505050505,,,0.10542929292929293,,,,,,,,,,,-0.19485294117647056,-0.3945707070707071,-0.11640798226164079,0.0,,0.002445545845832786,0.015708556149732614,,-0.03648754401982523,0.008355614973262038,0.17108585858585856,-0.04098734837615757,0.0501336898395722,-0.013888888888888895,-0.05937785313682013,-0.0036764705882352984,0.0827020202020202,0.013042911177774875,0.030748663101604276,,-0.026640146080605193,0.012366310160427805,0.0827020202020202,0.5164666753619408,-0.22794117647058826,0.02651515151515149,-0.20148037041867745,0.20688502673796794,-0.09280303030303033,-0.07577931394287207,-0.02205882352941177,0.05176767676767677,-0.2446524064171123,,,,,,-0.0007499673927220561,0.00033422459893048175,,,,,,0.04144385026737968,,-0.019042650319551324,0.00033422459893048175,,,,,,,,,-0.026403743315508023,0.21654040404040403,-0.021292552497717495,-0.01570855614973262,,,,,,,,,,,,,
1,102,210.5475198376771,383.63030234014514,4024.7640254482358,-1054.981407445288,1835.0042372694588,7466.484379737605,-10.43906235898524,117.02955948142935,-47.42709829815411,2.5444795166819745,137.40064288010285,-122.33725490196076,441839.4989923455,157836.60188262165,1852473.4705834622,-179220.24035529234,-79466.24887547642,-1520605.035280509,,,,,,7250.0,-0.009923792809020338,-0.011616852528031352,0.20440525156819622,-0.14546262028127277,0.10897910379775633,0.40370156159629866,0.01582541542299587,-0.00901621041056122,-0.1219514807340013,-0.10599555884529988,0.14775380060354149,0.2544823597455179,,,,-0.08364174685418208,0.0012241644365996729,-0.15066512434933488,0.06913397483345668,-0.026276831976313808,0.011278195488721776,-0.0047076239822353705,0.0458065250811365,0.004916136495083823,0.0318578830495929,-0.00834139953310939,0.13678426836321572,-0.0012139156180606958,-0.01790696350281843,0.00318102949681897,,,,0.016461880088823093,0.02024141661447361,,,,,0.05169504071058473,0.008085179069635018,0.3892423366107577,0.016639526276831962,-0.06960655924386494,-0.21891266628108735,-0.01927461139896373,0.017736149860502193,,-0.018741672834937086,0.006433980527244778,,,,,,0.017109833172009335,0.025159051474840946,,,,,0.06507999772248474,0.3366107576633892,,,,,,,,,,,,,,-0.08831065307749247,-0.3452862926547137,-0.1767579570688379,0.014120594431475265,0.0393290919606709,-0.034433752775721686,0.04740078574275466,0.053499132446500855,0.009148778682457434,-0.0007971303308090816,,0.04328645447816433,-0.00834139953310939,-0.021110468478889532,-0.09302738712065137,0.03390650799977225,,-0.003197631384159884,0.029351477538006036,,-0.03695040710584753,-0.003928713773273355,,0.3703923019985196,0.018618687012469437,0.0034702139965297474,-0.06907475943745373,-0.07510106473837047,0.10237131289762869,-0.08402664692820133,0.031059613961168353,-0.02342394447657606,,,,,0.0003131583442464274,,,,,,,,,-0.018846438535557702,,,,,,,,,,,,,,-0.0244559585492228,0.01192848602175027,,,,,,-0.00486818880601264,0.04713707345286292,-0.023390081421169502,,,,,
2,103,-2181.4199959644866,3627.182900432901,27468.823051948053,-3856.559563867888,4115.154322063167,21538.795398436316,21.3097563190488,24.358462236530386,68.74073423162164,26.991259398496254,87.43124999999998,-101.31874999999997,526904.3746728515,381682.0941843104,2540377.170201608,-158173.28373015858,-156155.0167748928,-2364317.941558441,,,,,-3000.0,7497098.5,-0.02436763483033877,0.010590116013509787,0.01837566636870802,-0.11011904761904745,0.108225108225108,0.8798701298701297,-0.029564162068785094,0.053657917836006486,0.03297282938876045,-0.12996031746031766,0.15773809523809534,0.6517857142857144,,,,0.043650793650793634,-0.061958874458874436,-0.10470779220779222,-0.020833333333333315,0.01704545454545453,-0.03490259740259738,0.03968253968253968,0.04112554112554112,0.0957792207792208,-0.02480158730158731,0.0008116883116883189,0.10633116883116882,-0.009920634920634927,0.0029761904761904795,,-0.001984126984126984,-0.0005411255411255401,,-0.009920634920634941,0.004870129870129886,-0.07629870129870131,0.028769841269841268,-0.012987012987012984,,-0.0793650793650793,0.01433982683982682,0.051136363636363646,0.058531746031746046,-0.008658008658008642,-0.16396103896103897,0.020833333333333332,-0.013257575757575756,0.18587662337662336,,,0.05438311688311688,,,,,0.039231601731601735,,,,,0.509920634920635,-0.029491341991342013,0.21996753246753248,,,,,,,,,,,,,,-0.04951298701298701,-0.1290584415584416,-0.16468253968253968,-0.020292207792207785,0.16314935064935063,0.07142857142857142,0.006222943722943727,0.09496753246753245,-0.009920634920634927,0.05411255411255411,,0.02083333333333333,0.07007575757575758,-0.08198051948051949,-0.0873015873015873,-0.0010822510822510803,,0.001984126984126984,0.06114718614718615,0.05194805194805194,-0.030753968253968256,0.03327922077922078,0.020292207792207785,0.49206349206349204,-0.13095238095238093,-0.16071428571428573,-0.17559523809523808,0.06764069264069261,-0.04383116883116883,-0.11408730158730157,-0.031114718614718623,0.1323051948051948,,,,-0.021825396825396824,-0.0002705627705627701,,-0.01488095238095238,-0.0002705627705627701,,,,,,0.021645021645021648,,-0.03571428571428571,0.022456709956709956,,,,,,,,,-0.006222943722943722,0.06574675324675325,-0.0049603174603174635,-0.024080086580086577,,-0.007936507936507936,,,,,,,,,,,
3,104,726.3082202713485,3031.1567147935857,-4968.800865800866,2047.5714270942717,2571.6274748516917,-8225.679269027298,6.013623683419723,34.561991191261825,-22.62928088834542,21.38365675627557,96.9227069735486,-167.18139137857446,594813.583203197,92347.29063708009,-2660767.623564087,-306643.6112274993,-54229.839439889416,770961.6103896108,,,,-9979998.0,,,0.1766770477023618,-0.019801079579955028,-0.40658536590227223,0.0029872749844814805,-0.2422549517521584,0.4242424242424243,-0.031685828262836724,-0.061415221530262576,-0.24365613607740633,-0.012414649286157653,-0.11601247914097068,0.35064935064935066,,,,-0.0002715704531346952,-0.012805630124065881,-0.0367965367965368,0.06467256362507756,0.01802945657694266,0.015151515151515138,-0.044498758535071375,-0.03243125589494303,0.004329004329004321,-0.009039416511483558,0.03293912791119495,0.025974025974025983,0.016914959652389823,-0.012225204962635135,-0.0021645021645021606,,,,0.0006207324643078826,0.03112529928172386,,-0.0013578522656734942,,,0.019863438857852245,-0.062431981426394834,0.39610389610389607,0.011056797020484177,0.03899731553362837,-0.1883116883116883,-0.002560521415270016,-0.02611913226438366,,,,,,,,,-0.003772763549299861,0.047619047619047616,,0.007400420808242038,,,-0.0719364434448233,0.2229437229437229,-0.5638578522656734,,,,,,,,,,,,,0.07389537836465215,-0.25757575757575757,0.029601179391682185,0.012696800406297615,0.0,-0.058116076970825575,0.04530943916418777,,0.042132216014897576,0.007110208227526671,0.0,0.06327591558038484,0.00968584488137561,-0.08874458874458874,-0.016294227188081933,-0.03457157367771893,,0.022501551831160774,0.00816222883261989,0.03246753246753247,-0.07623370577281192,0.004534571573677718,,0.40646337678460587,0.008670100848871765,0.0021645021645022022,-0.13807417752948475,-0.12392077196546475,0.09090909090909094,-0.04799037864680322,0.10255387071029529,-0.09307359307359306,,,,,,,,0.001813828629471088,,,,,,-0.029891895813683518,,-0.04302451893234016,0.000906914314735544,,,,,,,,,0.007400420808242038,,0.015401924270639356,,,,,,,,,,,,,,
4,105,3117.889709906951,-165.77775637320883,5270.1015200727525,17752.263672192348,1172.1636666199702,-17272.62586662432,14.753863968387122,-7.387327351309011,17.950388112087637,29.913087248322142,73.42804878048781,64.71454381210481,-148617.14529067464,144557.5951057705,602903.9103706572,85477.53702938929,-88584.39950555563,-429546.68883980624,,,,2666.666666666666,9000.0,-20000.0,-0.07680365566816727,-0.05095751400192228,0.23120684702817607,-0.14120035790487995,-0.008700956784177816,0.38092763414317243,-6.515533983731186,0.0008585517026513667,0.20763347373255947,-0.5699635212333953,-0.06138830026327602,0.24508249967519813,,,,-0.01944387087893179,0.08440891286200475,-0.09977913472781602,-0.04129671691100556,-0.011558466576767457,-0.04874626477848515,0.01479799022644368,-0.011686893983176017,0.03980771729245161,0.006676302567279246,-0.009118345855005469,0.06407691308301937,0.033519168559432856,-0.04629808001027419,0.04464076913083019,,,,0.00739899511322184,0.047229178706736014,-0.13316876705209824,,0.02777242663584409,,-0.039885745749879575,-0.07047453926667946,0.44981161491490185,-0.018032899717805806,0.0199062479933218,-0.2933090814603092,0.005024433890839012,0.010531047325499261,0.012992074834351046,,0.01101265009953124,-0.0074574509549175,-0.22802670521026913,-0.00032106851602131843,,-0.024192993323697433,-0.00016053425801065922,0.003715733402624399,0.03424186110537546,0.004462852372696335,-0.040041574639469925,0.21814990708238696,0.09429782315546137,0.6164479667402885,-0.17389359212609265,0.005426057920760291,,0.011253355358249019,,,0.00526533140615321,-0.011654787131573877,-0.0009354293880732755,-0.018204969371601626,-0.00016053425801065922,,,-0.07464842997495669,-0.5512537352215149,-0.4210888567692202,0.021062094650998522,-0.011225152656879303,-0.0792896964691307,0.049316124060874586,-0.0186826036117968,0.03279647601349027,0.07053875296988378,-0.038274652461998196,0.10079840319361276,0.000931098696461824,-0.03271404443289591,-0.049108679193337466,0.04389006614011431,-0.04936988437053398,0.05076054786977769,0.025846015539716174,0.011069247758867085,-0.07474705760892009,-0.02985937198998266,0.01205664544627777,0.40205795305939845,-0.06167726192769535,-0.05799662206054307,0.0978732190790832,0.022924292043922212,0.0861374561517474,-0.3801362791658063,0.04276632633403968,-0.05126672729634922,-0.09677197329478973,-0.0006421370320426369,-0.017695205924386125,-0.0007226925459425972,-0.0060681949528029275,,-0.006469818982724206,-0.005907660694792268,-0.0009354293880732755,,,,,0.0665575033712194,-0.06519423151877354,,,-0.0009354293880732755,,,,,,,,-0.017562447826366144,-0.0065220215668442254,,,0.0018448746264778486,,,,,,,,,,,,
5,106,467.19676309417264,2805.8022598870084,13139.872046738572,2157.917518684535,12999.753669915994,3083.23239956858,17.929990019071653,-23.41913587877022,1.5793619334149298,30.84564523483806,81.92004971002495,58.23034661871941,140157.77197502414,-347756.0471090162,1133717.961593065,-206051.99868387263,449266.31073446386,-2760292.9881869545,256580.4077688204,-4682311.621740765,3858797.3182270164,344899.92857142864,-2777826.6785714286,1951993.5166666666,0.06446043740587726,-0.08807351778466166,0.22483806264813277,-0.004879301489471022,-0.16384180790960468,0.638418079096045,-6.30339315884963,-0.026308306387569758,0.061533688692052224,-0.571937596302003,-0.02824858757062154,0.31420133538777617,,,,-0.01762326656394453,0.03954802259887005,-0.05790960451977402,0.015119414483821259,-0.05084745762711862,0.060349255264509516,-0.006869542886492053,0.06214689265536724,0.005328710837185391,0.03290318438623521,-0.016949152542372864,-0.006484334874165387,0.004879301489470994,-0.03389830508474577,-0.0012840267077555145,-3.210066769388821e-05,0.0,,0.005264509501797646,0.016949152542372878,-0.07903184386235233,-9.63020030816629e-05,-0.005649717514124294,-0.0075115562403697995,-0.07774781715459678,-0.005649717514124353,0.24627632254750897,0.027831278890600927,0.022598870056497175,-0.0826271186440678,0.011106831022085262,-0.011299435028248588,-0.014958911145351823,0.0112673343605547,0.005649717514124294,,,,0.0019260400616332822,,,,-6.420133538777642e-05,0.0,0.03415511042629687,0.16380970724191063,0.0903954802259887,-0.233371854134566,-0.15915511042629685,,,,,,,,,-3.210066769388821e-05,0.0,,0.7908962506420134,-0.0847457627118644,0.1461222393425783,-0.653697996918336,0.0,-0.0053929121725731916,0.02795968156137648,0.016949152542372878,-0.0013482280431433014,0.06763610683102209,0.005649717514124297,-0.025937339496661535,-0.00044940934771442453,-0.005649717514124297,0.06291730868002053,-0.0909732922444787,0.022598870056497175,0.0001926040061633258,0.05633667180277349,0.0790960451977401,-0.06535695942475603,0.1520608628659476,-0.0847457627118644,0.11639702105803798,-0.1765215716486903,0.09604519774011298,-0.09187211093990753,0.3943888032871084,-0.07909604519774016,0.052131484334874134,-0.43194658448895734,-0.011299435028248588,,-0.017077555213148434,,,,,0.013289676425269646,-3.210066769388821e-05,0.0,0.00571391884951207,,,-0.0018618387262455058,,-0.01694915254237288,0.009565998972778635,-0.028441191576784795,0.011299435028248588,-0.005585516178736517,,,,,,,,-0.011299435028248588,0.013289676425269646,,,,,,,,,,-3.210066769388821e-05,,,,,
6,107,-1077.6829380550116,4827.076606521048,11136.199401709404,2779.3451865480165,7006.745525257553,9602.76520946317,-2.5959016548677027,12.983313796076004,-35.48288774081544,24.380738938336435,76.66127412106789,152.29688822504363,165169.3485579798,-207621.87526467862,836692.1535872715,-192377.65215610527,231339.7302943971,-1350315.0312820515,5149435.0679366635,-5143746.543838872,4656399.597531379,3329642.7333333334,-3319249.3333333335,2958493.529411765,-0.18350040921971744,-0.009598636168116403,0.12882201602865262,-0.07307939851383782,0.019468186134853127,0.23991452991452977,-0.06170445881323572,0.026030650656986842,-0.06314514851497188,-0.07655101125348618,0.09433364988920534,-0.037008547008547055,,,,0.044877420864782636,-0.04036087369420702,-0.025811965811965806,-0.0347161273964855,0.005064893953782845,0.004358974358974366,0.04286856630195229,0.006489395378284246,-0.06965811965811963,-0.008249956117254709,0.018518518518518517,0.05000000000000002,-0.02108322118853978,0.010288065843621394,0.04111111111111111,,-0.012187401076289966,,0.012462699666491134,0.011396011396011402,,0.002867006026563687,,,-0.04819300606557053,0.024374802152579922,0.5107692307692308,0.015037154057691182,-0.00047483380816709664,-0.39162393162393166,-0.0072357771146607346,0.01772712883823995,-0.027521367521367524,,-0.003956948401392846,0.002393162393162393,,,0.00905982905982906,,0.03007280785058563,,,-0.02025957581513137,-0.0018803418803418808,0.29729097185653264,0.09354226020892692,-0.40119658119658125,-0.28498429972890216,,,-0.010102783141224425,0.00015827793605571391,0.002393162393162393,,0.004431782209559988,,,,,,-0.10810383032605253,0.35769230769230764,-0.36580656485869756,0.018518518518518517,-0.018888888888888886,0.048875626548085735,0.00443178220955999,-0.056324786324786325,-0.0005070895012969784,-0.0017410572966128635,0.012564102564102564,0.003354592085503094,0.0253244697689142,0.01179487179487182,-0.03816823669377645,0.0012662234884457113,0.019145299145299145,0.017455580910030622,0.05713833491611269,-0.018290598290598287,-0.07982758956955903,0.049224438113326996,0.06982905982905983,0.27895773604041113,-0.04764165875276988,-0.14923076923076922,0.21457687281805232,-0.06536878759100978,0.15940170940170945,-0.35533321631267917,0.006647673314339991,-0.061709401709401715,-0.09129561367581378,-0.003956948401392846,0.002393162393162393,,,0.00905982905982906,-0.005363446648333431,0.004431782209559988,0.004786324786324786,-0.005363446648333431,,,0.024067247869248923,-0.011712567268122823,-0.010427350427350428,-0.011351003452109296,0.00047483380816714174,-0.00282051282051282,,,-0.005213675213675214,,,,,0.00047483380816714174,0.010512820512820514,0.010473348546018372,,,0.007606342519454683,,,,-0.003956948401392846,,-0.005363446648333431,,,,,
7,108,3945.601354620223,2434.724985706118,-1266.8624401913912,4865.767488913509,9278.1402001389,-3209.533018611517,27.01374946124247,6.91948734222396,-44.16957087914295,10.090219041422756,34.310521266389514,142.77627118644068,127263.07409003377,129314.75906734914,-17596.799979979172,-3586330.1981948866,413858.28347627213,2283436.5691387565,-96989.23130738223,788347.7206262765,954001.6511747907,-6483.333333333256,794053.0158730159,1868910.3452380951,-0.09964494942949553,0.031835565100265084,0.12292148303319772,-0.11696479621007949,0.02778730703259047,0.28899521531100447,-6.775367600552217,-0.018033930546898502,0.18512868738749844,-0.5239728824634486,-0.09594053744997133,0.19880382775119632,,,,-0.002450379808870376,-0.008805031446540879,0.03421052631578947,0.030997304582210256,0.01532304173813609,0.06395534290271132,-0.008372131013640427,-0.021497998856489425,0.03995215311004788,-0.0020828228375397995,0.057061177815894815,-0.16331738437001597,-0.00510495793514662,-0.04208118925100056,0.02519936204146729,-0.01319121130441885,-0.00022870211549456867,,,,,,,,-0.06632361349342475,0.005717552887364197,0.08133971291866027,0.04198317405864577,0.01429388221841052,-0.0729665071770335,0.012374418034795392,-0.006746712407089765,-0.003349282296650718,,-0.00045740423098913734,,,,,,,,,-0.00022870211549456867,0.07727272727272727,,0.058433390508862204,-0.24098883572567784,,,,,,,,,,,,,,-0.07638650657518586,0.14242424242424245,-0.7088131993792371,0.023098913664951398,-0.0019138755980861247,-0.007922894715347552,0.05294453973699257,0.01706539074960127,-0.008739687984971004,-0.002515723270440251,0.016666666666666663,0.0050641182716654395,0.022641509433962266,0.00789473684210526,-0.0651392632524708,0.01795311606632361,-0.006698564593301436,0.04361676059789267,0.058547741566609496,0.055901116427432215,0.03446867597810993,0.06769582618639222,-0.0788676236044657,-0.004492362982929016,-0.035334476843910806,0.03293460925039873,0.5110267091399167,-0.0906803887935963,-0.017065390749601228,-0.5846197827329903,-0.00022870211549456867,0.007097288676236044,,,0.009808612440191386,,,0.0027113237639553424,-0.00020419831740586467,0.005831903945111492,0.0010366826156299833,-0.006697704810912359,-0.00022870211549456867,,0.006085109858694765,-0.00045740423098913734,0.0010366826156299833,,,,,,,,,,,,,,,,-0.00020419831740586467,,,,,,,,,,,
8,109,5058.69800914716,3209.104213075061,-3834.359027355622,1984.2611062560209,7861.935496739272,-2349.9541270436057,3.4914859174675428,1.310668602425153,52.86812913698836,79.13191281717633,12.578806835520254,56.98592865387786,200357.08342045918,80251.00577388704,-86976.38775512669,-437806.1157834511,-207438.20313155837,251172.3856534958,-4645263.577917495,4957405.609468075,-1574120.0005492265,-2851220.68907563,3740098.367647059,4984476.5,-0.11907130724838488,-0.07884567280360555,0.10093095997759982,0.047486233283272394,0.02766747376916845,-0.140060790273556,-6.7791634987409175,-0.054030788981781486,0.059053698469723304,-0.61385253522134,0.036384180790960396,0.007659574468085184,,,,-0.02399342058213544,-0.004035512510088796,0.006079027355623101,0.10773796753200315,-0.030088781275221965,-0.1413981762917933,-0.027390402631767147,0.036287328490718335,0.04814589665653493,-0.04501895158406638,0.0361581920903955,0.025531914893617003,0.026639490810269617,-0.038321226795803076,0.061641337386018236,-0.000679396409926339,0.005778853914447135,-0.002917933130699088,-0.014696417077880285,0.02305084745762712,-0.03148936170212766,,0.005778853914447135,0.0013373860182370814,-0.05803475649002354,-0.042905569007263944,0.16097264437689973,0.05917900307516272,-0.009233252623083138,-0.09349544072948328,0.004290924694271616,0.01162227602905569,-0.020060790273556228,,,0.0027963525835866263,,,,,,,,0.00012913640032284103,0.005592705167173253,0.11231495387255953,0.029927360774818404,-0.008145896656534951,-0.1159622398626904,0.005907990314769976,-0.010091185410334347,,,,,,-0.004376899696048634,,,,,-0.03057304277643258,0.0184802431610942,-0.7332832725452335,0.040516545601291365,-0.009118541033434652,0.010155188443109489,0.012267958030669893,0.0036474164133738635,0.03479224772938569,-0.010524616626311545,0.05483282674772036,0.013766716727454775,0.0010976594027441444,-0.024802431610942255,-0.08635485947221627,0.011815980629539952,-0.01592705167173252,0.0008939426446399196,0.040516545601291365,0.0036474164133738635,-0.016520060072945722,0.13811138014527846,-0.15902735562310033,0.08313666595151256,0.002324455205811121,0.015562310030395127,0.5477722949295573,-0.18679580306698945,0.11440729483282669,-0.6532575269970678,0.005843422114608556,0.025410334346504557,-0.000679396409926339,6.456820016142052e-05,-0.001458966565349544,0.01062003861832225,-0.005520581113801453,-0.007173252279635258,-0.013337624258027606,0.005778853914447135,-0.002917933130699088,-0.007008510333976972,,,,0.005843422114608556,-0.004376899696048634,-0.02034613459200458,0.0229862792574657,-0.02577507598784195,,,,,,,,-0.03376916868442292,-0.002917933130699088,-0.025995852106128873,0.005778853914447135,-0.007173252279635258,,,,,-0.005585149313962873,,-0.000679396409926339,6.456820016142052e-05,,,,
9,110,-3408.547093023255,7881.017063437455,7568.883398380123,-2087.507649210682,11257.153716568497,8845.90131694157,-15.262844028605656,24.927747408681682,-39.58336444501154,54.53724788549124,34.7790381125227,89.20492974517742,8256.600416039117,49631.91266949847,-598418.893703233,-19614.302470930852,-114905.3278175313,1067039.6955810152,1092357.5851190775,-1123582.921763287,985125.3137131305,4569199.083333333,-4430149.113636363,4549671.818181817,-0.29748042724428525,0.20505376829216093,0.4187803403120802,-0.1768895348837214,0.19867207926241903,-0.3515254521801161,-0.19020921366969767,0.14176800171062198,0.4134374819400698,0.0008720930232557489,0.08263382413650744,-0.22703428595408948,,,,0.0024709302325581217,0.008290904086968504,0.028200931637920174,-0.03822674418604649,0.012006329984863062,-0.03233455033782362,0.024999999999999994,0.00443786982248523,0.02570397414914599,0.046802325581395354,-0.031787532681987085,-0.03921692055898274,-0.017296511627906977,0.00705242878767029,0.017646565109740234,,,,-0.007994186046511628,-0.005504334663547543,,,,0.009442276218053632,-0.03561046511627908,-0.02707444612632448,0.10545973393763897,0.03997093023255813,0.02604238337690934,-0.13139451928322632,0.017005813953488373,-0.005504334663547543,0.017709513617860592,-0.01918604651162791,0.006020366038255126,0.009442276218053632,,,,,-0.0057107472134305766,,,,0.010617315036300305,,0.040628870235310366,-0.2726509715053087,,,,,,,,,,,,,,-0.05266960231182055,0.24312812119686095,-0.1815406976744186,-0.022120544929131694,0.005833228419153139,0.024709302325581398,-0.004369065639190858,-0.011918250870787697,0.0122093023255814,-0.004369065639190858,0.059003734944815145,0.04389534883720931,0.031030686665749277,0.018779638255906658,-0.051744186046511625,-0.011421494426861153,0.016534474799613917,0.0010174418604651098,-0.01651300399064263,0.17014981744932645,0.0811046511627907,-0.1271845328195954,0.08978555541566997,0.11468023255813954,-0.03749827989541765,0.015149607620966066,0.21424418604651163,0.19781202697123984,-0.2667547945780352,-0.44854651162790693,-0.01661621026558415,-0.008330185907927314,,,,,,-0.008288220235847077,,,-0.003567082126820262,,,,,-0.005401128388606027,-0.0023920433085735868,-0.01918604651162791,0.00010320627494151639,0.004721138109026816,,,,,,,,0.012143938351451767,,-0.012936046511627906,,,,,,0.017005813953488373,,,,,,,,
